Topic	      f1	accuarcy	recall_score
ARTS CULTURE ENTERTAINMENT 	        1.0 	 1.0 	 1.0
BIOGRAPHIES PERSONALITIES PEOPLE 	 0.4984984984984985 	 0.9940119760479041 	 0.49700598802395207
DEFENCE 	 1.0 	 1.0 	 1.0
DOMESTIC MARKETS 	 1.0 	 1.0 	 1.0
FOREX MARKETS 	 0.4931013797240552 	 0.9727810650887574 	 0.4863905325443787
HEALTH 	 1.0 	 1.0 	 1.0
MONEY MARKETS 	 0.3243298547165951 	 0.9473998804542738 	 0.3157999601514246
SCIENCE AND TECHNOLOGY 	 1.0 	 1.0 	 1.0
SHARE LISTINGS 	 0.4976958525345622 	 0.9908256880733946 	 0.4954128440366973
SPORTS 	 0.3325754130665454 	 0.9954627949183303 	 0.33182093163944343
IRRELEVANT 	 0.24957680914092256 	 0.9966201943388255 	 0.24915504858470638
